00000000000000001000  // n
00000000000000001000  // r
//1st group
00000000000000000001  // 1
00000000000000111000  // 56
00000000000001100000  // 96
00000000000000101111  // 47
00000000000001100000  // 96
00000000000001010000  // 80
00000000000001001010  // 74
00000000000001100100  // 100
00000000000000000000  // 0
00000000000000000001  // 1
00000000000010000100  // 132
00000000000010010010  // 146
00000000000000111011  // 59
00000000000001000010  // 66
00000000000000101101  // 45
00000000000001011011  // 91
00000000000000000000  // 0
00000000000000000000  // 0
00000000000000000001  // 1
00000000000010000011  // 131
00000000000000101000  // 40
00000000000000100010  // 34
00000000000000111100  // 60
00000000000001010000  // 80
00000000000000000000  // 0
00000000000000000000  // 0
00000000000000000000  // 0
00000000000000000001  // 1
00000000000001000100  // 68
00000000000001010000  // 80
00000000000001001101  // 77
00000000000001011001  // 89
00000000000000000000  // 0
00000000000000000000  // 0
00000000000000000000  // 0
00000000000000000000  // 0
00000000000000000001  // 1
00000000000000001000  // 8
00000000000001000110  // 70
00000000000111110011  // 499
00000000000000000000  // 0
00000000000000000000  // 0
00000000000000000000  // 0
00000000000000000000  // 0
00000000000000000000  // 0
00000000000000000001  // 1
00000000000001001101  // 77
00000000000001011001  // 89
00000000000000000000  // 0
00000000000000000000  // 0
00000000000000000000  // 0
00000000000000000000  // 0
00000000000000000000  // 0
00000000000000000000  // 0
00000000000000000001  // 1
00000000000001011001  // 89
00000000000000000000  // 0
00000000000000000000  // 0
00000000000000000000  // 0
00000000000000000000  // 0
00000000000000000000  // 0
00000000000000000000  // 0
00000000000000000000  // 0
00000000000000000001  // 1
// Y
00011011011110111001  // 112569
00011000100100101010  // 100650
00010101100100011001  // 88345
00011000011100110110  // 100150
01111011011101000101  // 505669
00010111011011100111  // 95975
00010101110000000010  // 89090
00000000001111101000  // 1000
