//1st
00000000000000001100  // n
00000000000000001100  // r
00000000000000000001  // 1
11111111111111111111  // -1
11111111111111111111  // -1
11111111111111111111  // -1
11111111111111111111  // -1
00000000000001001010  // 74
00000000000001000111  // 71
00000000000001100010  // 98
11111111111111010101  // -43
00000000000000011110  // 30
11111111111111001110  // -50
00000000000001000010  // 66
00000000000000000000  // 0
00000000000000000001  // 1
11111111111111111111  // -1
11111111111111111111  // -1
11111111111111111111  // -1
00000000000000111100  // 60
00000000000000101011  // 43
00000000000001011001  // 89
11111111111111111101  // -3
00000000000000000000  // 0
00000000000000000000  // 0
00000000000000000110  // 6
00000000000000000000  // 0
00000000000000000000  // 0
00000000000000000001  // 1
11111111111111111111  // -1
11111111111111111111  // -1
00000000000000011110  // 30
00000000000000110111  // 55
00000000000001001100  // 76
11111111111111111100  // -4
00000000000000000011  // 3
11111111111111111011  // -5
00000000000000000110  // 6
00000000000000000000  // 0
00000000000000000000  // 0
00000000000000000000  // 0
00000000000000000001  // 1
11111111111111111111  // -1
00000000000001001011  // 75
00000000000001001000  // 72
00000000000001010010  // 82
11111111111111001011  // -53
00000000000000101000  // 40
11111111111111000100  // -60
00000000000001001100  // 76
00000000000000000000  // 0
00000000000000000000  // 0
00000000000000000000  // 0
00000000000000000000  // 0
00000000000000000001  // 1
00000000000000000100  // 4
00000000000001000101  // 69
00000000000001010011  // 83
11111111111111011111  // -33
00000000000000010100  // 20
11111111111111011000  // -40
00000000000000111000  // 56
00000000000000000000  // 0
00000000000000000000  // 0
00000000000000000000  // 0
00000000000000000000  // 0
00000000000000000000  // 0
00000000000000000001  // 1
00000000000001001001  // 73
00000000000001010100  // 84
11111111111111011110  // -34
00000000000000000011  // 3
11111111111111111011  // -5
00000000000001000010  // 66
00000000000000000000  // 0
00000000000000000000  // 0
00000000000000000000  // 0
00000000000000000000  // 0
00000000000000000000  // 0
00000000000000000000  // 0
00000000000000000001  // 1
00000000000001010101  // 85
11111111111110101101  // -83
00000000000000001010  // 10
11111111111111101100  // -20
00000000000000001010  // 10
00000000000000000000  // 0
00000000000000000000  // 0
00000000000000000000  // 0
00000000000000000000  // 0
00000000000000000000  // 0
00000000000000000000  // 0
00000000000000000000  // 0
00000000000000000001  // 1
11111111111111010100  // -44
00000000000000100001  // 33
11111111111111101010  // -22
00000000000000001011  // 11
00000000000000000000  // 0
00000000000000000000  // 0
00000000000000000000  // 0
00000000000000000000  // 0
00000000000000000000  // 0
00000000000000000000  // 0
00000000000000000000  // 0
00000000000000000000  // 0
00000000000000000001  // 1
00000000000000100001  // 33
11111111111110011100  // -100
00000000000011001000  // 200
00000000000000000000  // 0
00000000000000000000  // 0
00000000000000000000  // 0
00000000000000000000  // 0
00000000000000000000  // 0
00000000000000000000  // 0
00000000000000000000  // 0
00000000000000000000  // 0
00000000000000000000  // 0
00000000000000000001  // 1
11111111111100100010  // -222
00000000000001101111  // 111
00000000000000000000  // 0
00000000000000000000  // 0
00000000000000000000  // 0
00000000000000000000  // 0
00000000000000000000  // 0
00000000000000000000  // 0
00000000000000000000  // 0
00000000000000000000  // 0
00000000000000000000  // 0
00000000000000000000  // 0
00000000000000000001  // 1
00000000000000001100  // 12
00000000000000000000  // 0
00000000000000000000  // 0
00000000000000000000  // 0
00000000000000000000  // 0
00000000000000000000  // 0
00000000000000000000  // 0
00000000000000000000  // 0
00000000000000000000  // 0
00000000000000000000  // 0
00000000000000000000  // 0
00000000000000000000  // 0
00000000000000000001  // 1
11111110101100010100  // -5356
11111110111011101100  // -4372
11111111001111001010  // -3126
11111110111100101010  // -4310
11111110101101011001  // -5287
11111110011011111000  // -6408
11111100000110010100  // -15980
11111111000101011010  // -3750
00000000101011001101  // 2765
00000001011100000000  // 5888
11111111111111011001  // -39
11111111111111111111  // -1
