00000000000000000100  // n
00000000000000000100  // r
//2nd group
00000000000000000001  // 1
00000000000000011010  // 26
00000000000000001110  // 14
00000000000000101011  // 43
00000000000000000000  // 0
00000000000000000001  // 1
00000000000000001101  // 13
00000000000000010000  // 16
00000000000000000000  // 0
00000000000000000000  // 0
00000000000000000001  // 1
00000000000000001011  // 11
00000000000000000000  // 0
00000000000000000000  // 0
00000000000000000000  // 0
00000000000000000001  // 1
//Y
00000000001010010110  // 662
00000000000101100000  // 352
00000000000001101001  // 105
00000000000000001000  // 8
